"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW12,SW58,SW46,SW61,SW84,SW59,SW55,SW30,SW24,SW65,SW33,SW21,SW16,SW20,SW52,SW53,SW70,SW23,SW4,SW18,SW34,SW19,SW82,SW66,SW51,SW76,SW42,SW14,SW2,SW67,SW72,SW17,SW15,SW80,SW74,SW6,SW5,SW40,SW41,SW37,SW28,SW71,SW64,SW3,SW43,SW11,SW69,SW1,SW27,SW22,SW63,SW68,SW31,SW39,SW48,SW44,SW57,SW77,SW79,SW8,SW60,SW73,SW83,SW32,SW9,SW35,SW7,SW10,SW81,SW75,SW50,SW62,SW38,SW78,SW25,SW54,SW26,SW36,SW13,SW29,SW45,SW56,SW47,SW49";"SW_Cherry_MX_1.00u_PCB";84;"SW_Push";;;
2;"D64,D83,D45,D37,D41,D50,D68,D7,D44,D61,D80,D32,D58,D74,D13,D63,D76,D51,D78,D54,D57,D38,D14,D43,D48,D11,D5,D8,D72,D28,D60,D24,D46,D33,D62,D77,D25,D69,D19,D65,D4,D67,D27,D84,D40,D70,D79,D81,D59,D29,D36,D52,D20,D12,D17,D56,D30,D16,D23,D75,D35,D9,D49,D18,D55,D3,D31,D22,D82,D10,D15,D2,D53,D6,D66,D42,D47,D73,D71,D39,D34,D1,D21,D26";"D_SOD-523";84;"1N4148WT";;;
3;"C1";"C_0402_1005Metric";1;"4.7 uF";;;
4;"R2,R1";"R_0402_1005Metric";2;"5.1K";;;
5;"U1";"Raytac_MDBT50Q";1;"MDBT50Q-1MV2";;;
6;"J3";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
7;"D85";"LED_0402_1005Metric";1;"LED_BLUE";;;
8;"C3,C2";"C_0603_1608Metric";2;"4.7 uF";;;
9;"R5";"R_0402_1005Metric";1;"2K";;;
10;"U2";"SOT-23-6";1;"USBLC6-2SC6";;;
11;"R6";"R_0402_1005Metric";1;"10K";;;
12;"L1";"L_0402_1005Metric";1;"10 uH";;;
13;"J2";"JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal";1;"Conn_01x02_Pin";;;
14;"J1";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Receptacle_USB2.0_14P";;;
15;"U3";"VSON-10-1EP_3x3mm_P0.5mm_EP1.65x2.4mm_ThermalVias";1;"BQ24012";;;
